time_s,z_down_m
0.229,0.015
0.232,0.016
0.326,0.013
0.433,0.014
0.529,0.014
0.627,0.013
0.725,0.015
0.866,0.013
0.953,0.013
1.026,0.013
1.163,0.013
1.233,0.013
1.327,0.012
1.456,0.012
1.537,0.014
1.626,0.015
1.745,0.014
1.826,0.013
1.928,0.013
2.032,0.01
2.129,0.013
2.225,0.013
2.326,0.011
2.424,0.014
2.525,0.011
2.652,0.012
2.725,0.017
2.825,0.014
2.932,0.012
3.025,0.016
3.126,0.013
3.242,0.014
3.325,0.014
3.431,0.012
3.531,0.013
3.625,0.013
3.754,0.014
3.825,0.012
3.925,0.014
4.043,0.013
4.125,0.013
4.226,0.015
4.332,0.011
4.425,0.015
4.525,0.011
4.661,0.014
4.725,0.012
4.825,0.014
4.963,0.014
5.025,0.013
5.125,0.013
5.244,0.014
5.326,0.012
5.425,0.017
5.535,0.013
5.624,0.013
5.725,0.012
5.827,0.011
5.924,0.013
6.063,0.014
6.131,0.014
6.225,0.013
6.353,0.012
6.441,0.012
6.524,0.013
6.639,0.012
6.725,0.01
6.825,0.012
6.927,0.013
7.024,0.013
7.124,0.014
7.226,0.014
7.323,0.013
7.424,0.012
7.557,0.012
7.624,0.012
7.724,0.013
7.85,0.012
7.924,0.01
8.024,0.011
8.128,0.012
8.223,0.007
8.324,0.0
8.43,0.0
8.523,0.0
8.659,0.025
8.728,0.053
8.824,0.079
8.953,0.108
9.03,0.14
9.124,0.166
9.242,0.196
9.323,0.239
9.423,0.273
9.532,0.31
9.623,0.351
9.723,0.379
9.823,0.408
9.923,0.43
10.023,0.449
10.168,0.468
10.226,0.478
10.322,0.489
10.423,0.493
10.523,0.503
10.623,0.51
10.734,0.517
10.823,0.524
10.923,0.527
11.041,0.53
11.122,0.53
11.223,0.53
11.349,0.532
11.422,0.54
11.523,0.544
11.666,0.554
11.723,0.565
11.823,0.571
11.957,0.573
12.024,0.562
12.122,0.545
12.222,0.533
12.329,0.526
12.422,0.53
12.523,0.541
12.63,0.546
12.722,0.561
12.822,0.563
12.925,0.564
13.022,0.56
13.122,0.547
13.228,0.54
13.321,0.533
13.421,0.538
13.538,0.538
13.624,0.545
13.722,0.547
13.852,0.548
13.933,0.555
14.021,0.561
14.165,0.563
14.231,0.563
14.321,0.552
14.469,0.54
14.535,0.534
14.622,0.528
14.722,0.529
14.826,0.538
14.921,0.549
15.03,0.553
15.128,0.545
15.222,0.528
15.321,0.516
15.421,0.513
15.521,0.518
15.621,0.526
15.735,0.526
15.822,0.529
15.921,0.535
16.049,0.531
16.122,0.533
16.221,0.533
16.364,0.529
16.433,0.524
16.521,0.522
16.671,0.524
16.726,0.525
16.82,0.524
16.921,0.525
17.025,0.525
17.121,0.523
17.221,0.523
17.325,0.522
17.421,0.525
17.521,0.529
17.63,0.542
17.72,0.551
17.822,0.565
17.943,0.571
18.021,0.544
18.121,0.513
18.259,0.488
18.324,0.478
18.42,0.476
18.565,0.483
18.622,0.489
18.72,0.498
18.821,0.505
18.928,0.515
19.021,0.512
19.12,0.509
19.234,0.507
19.32,0.51
19.419,0.512
19.52,0.51
19.62,0.514
19.72,0.51
19.834,0.51
19.92,0.51
20.02,0.51
20.145,0.513
20.229,0.513
20.321,0.51
20.479,0.51
20.524,0.509
20.62,0.51
20.719,0.508
20.83,0.51
20.92,0.512
21.019,0.505
21.124,0.51
21.22,0.507
21.32,0.509
21.419,0.51
21.519,0.507
21.62,0.509
21.73,0.504
21.819,0.504
21.919,0.505
22.044,0.505
22.127,0.508
22.219,0.508
22.356,0.508
22.419,0.509
22.52,0.508
22.646,0.514
22.722,0.514
22.819,0.51
22.919,0.505
23.03,0.495
23.119,0.498
23.22,0.5
23.318,0.504
23.418,0.505
23.519,0.505
23.622,0.507
23.718,0.505
23.819,0.501
23.941,0.501
24.018,0.5
24.118,0.505
24.256,0.503
24.326,0.507
24.418,0.504
24.551,0.499
24.62,0.501
24.718,0.5
24.818,0.507
24.925,0.507
25.018,0.504
25.118,0.503
25.225,0.499
25.319,0.498
25.418,0.498
25.518,0.498
25.618,0.501
25.719,0.498
25.826,0.501
25.919,0.503
26.018,0.503
26.138,0.503
26.218,0.498
26.318,0.501
26.451,0.501
26.518,0.5
26.618,0.498
26.767,0.501
26.831,0.503
26.918,0.501
27.067,0.505
27.123,0.505
27.218,0.504
27.317,0.505
27.426,0.505
27.517,0.503
27.619,0.501
27.717,0.499
27.817,0.5
27.918,0.503
28.031,0.504
28.117,0.505
28.218,0.501
28.342,0.501
28.416,0.501
28.517,0.501
28.654,0.5
28.717,0.5
28.817,0.503
28.948,0.501
29.018,0.498
29.117,0.5
29.217,0.498
29.324,0.496
29.417,0.501
29.517,0.503
29.623,0.501
29.717,0.501
29.817,0.504
29.917,0.5
30.016,0.5
30.117,0.495
30.228,0.495
30.316,0.499
30.416,0.499
30.536,0.501
30.617,0.501
30.717,0.501
30.854,0.501
30.923,0.501
31.016,0.5
31.165,0.501
31.221,0.496
31.316,0.498
31.428,0.497
31.528,0.496
31.616,0.492
31.717,0.497
31.817,0.499
31.916,0.503
32.016,0.501
32.125,0.501
32.216,0.501
32.316,0.5
32.439,0.504
32.516,0.5
32.616,0.501
32.754,0.501
32.824,0.501
32.915,0.501
33.067,0.498
33.131,0.499
33.216,0.495
33.353,0.496
33.431,0.497
33.516,0.495
33.616,0.493
33.716,0.496
33.816,0.497
33.915,0.496
34.02,0.5
34.116,0.5
34.216,0.498
34.322,0.496
34.415,0.499
34.515,0.5
34.64,0.497
34.721,0.499
34.815,0.498
34.95,0.498
35.014,0.495
35.116,0.496
35.26,0.498
35.318,0.49
35.415,0.496
35.515,0.498
35.624,0.498
35.715,0.497
35.816,0.501
35.917,0.501
36.015,0.505
36.115,0.5
36.223,0.499
36.315,0.501
36.415,0.499
36.538,0.501
36.615,0.5
36.715,0.501
36.853,0.5
36.922,0.501
37.014,0.495
37.166,0.495
37.231,0.496
37.315,0.497
37.441,0.503
37.519,0.5
37.614,0.496
37.714,0.493
37.822,0.494
37.914,0.496
38.014,0.497
38.119,0.497
38.214,0.499
38.315,0.496
38.431,0.496
38.515,0.494
38.614,0.496
38.744,0.499
38.824,0.5
38.914,0.497
39.056,0.496
39.113,0.495
39.214,0.497
39.359,0.497
39.433,0.497
39.514,0.5
39.614,0.495
39.713,0.5
39.814,0.496
39.913,0.495
40.022,0.49
40.114,0.49
40.214,0.488
40.335,0.49
40.413,0.486
40.514,0.484
40.651,0.483
40.717,0.488
40.813,0.487
40.964,0.491
41.027,0.496
41.115,0.494
41.266,0.497
41.317,0.494
41.413,0.495
41.513,0.493
41.619,0.495
41.713,0.495
41.813,0.497
41.915,0.499
42.014,0.499
42.114,0.496
42.218,0.493
42.314,0.492
42.414,0.491
42.533,0.49
42.614,0.492
42.713,0.493
42.844,0.493
42.916,0.496
43.012,0.493
43.167,0.494
43.226,0.493
43.312,0.493
43.413,0.496
43.52,0.496
43.613,0.49
43.712,0.489
43.817,0.488
43.912,0.487
44.012,0.49
