time_s,x_m,y_m,z_down_m
0.239,0.0,0.0,0.009
0.241,0.0944,-0.4569,0.011
0.244,0.0949,-0.4561,0.014
0.247,0.0943,-0.4563,0.012
0.304,0.095,-0.4561,0.01
0.33,0.0944,-0.4567,0.009
0.382,0.0944,-0.4564,0.011
0.436,0.0947,-0.4569,0.01
0.488,0.0949,-0.4567,0.012
0.545,0.0944,-0.4574,0.011
0.599,0.0944,-0.4567,0.011
0.63,0.0944,-0.4567,0.011
0.679,0.0944,-0.4565,0.012
0.729,0.0947,-0.4572,0.01
0.78,0.0944,-0.4567,0.011
0.829,0.0949,-0.4567,0.011
0.906,0.0949,-0.4568,0.011
0.948,0.0946,-0.4568,0.008
0.98,0.0948,-0.4565,0.009
1.03,0.0944,-0.4572,0.011
1.079,0.0946,-0.4563,0.01
1.13,0.095,-0.4572,0.012
1.205,0.0946,-0.4562,0.011
1.271,0.0944,-0.457,0.011
1.287,0.0952,-0.4566,0.01
1.33,0.0943,-0.4579,0.01
1.38,0.0945,-0.4564,0.011
1.431,0.0943,-0.457,0.011
1.495,0.0943,-0.4571,0.012
1.532,0.0942,-0.4568,0.011
1.58,0.0947,-0.4569,0.012
1.631,0.0947,-0.4566,0.011
1.68,0.0945,-0.4564,0.012
1.73,0.0943,-0.457,0.013
1.787,0.0945,-0.4565,0.01
1.838,0.0947,-0.4575,0.009
1.879,0.0947,-0.4569,0.011
1.93,0.0942,-0.4571,0.012
1.979,0.0944,-0.4573,0.01
2.029,0.0946,-0.4565,0.01
2.08,0.0942,-0.4571,0.011
2.136,0.0944,-0.4571,0.008
2.178,0.0944,-0.4571,0.01
2.229,0.0946,-0.4567,0.01
2.279,0.0946,-0.4564,0.01
2.36,0.0941,-0.4569,0.012
2.406,0.0946,-0.4564,0.011
2.429,0.0946,-0.4567,0.012
2.479,0.0949,-0.4575,0.008
2.528,0.0944,-0.4572,0.01
2.579,0.0943,-0.4569,0.012
2.648,0.0946,-0.4572,0.013
2.686,0.0941,-0.4565,0.011
2.728,0.0946,-0.4574,0.011
2.779,0.0,0.0,0.009
2.829,-0.0,0.0,0.013
2.879,-0.0001,-0.0001,0.011
2.937,-0.0002,-0.0,0.009
2.983,-0.0004,0.0002,0.011
3.028,-0.0004,0.0001,0.011
3.079,0.0002,0.0004,0.011
3.128,0.0,0.0001,0.009
3.18,-0.0004,-0.0001,0.011
3.229,-0.0004,-0.0002,0.01
3.29,0.0,-0.0002,0.011
3.329,-0.0004,0.0003,0.01
3.379,0.0,0.0003,0.01
3.429,-0.0005,-0.0002,0.01
3.505,0.0001,-0.0005,0.008
3.552,-0.0004,0.0003,0.01
3.578,0.0006,0.0005,0.011
3.63,-0.0004,-0.0003,0.01
3.679,-0.0004,-0.0005,0.01
3.729,-0.0004,0.0002,0.01
3.801,-0.0002,0.0004,0.009
3.841,0.0,0.0002,0.011
3.878,-0.0002,-0.0001,0.01
3.929,-0.0002,-0.0014,0.011
3.978,-0.0002,0.0004,0.011
4.028,-0.0002,0.0002,0.009
4.091,0.0,-0.0001,0.011
4.131,0.0003,-0.0006,0.01
4.178,0.0,0.0002,0.01
4.229,-0.0005,0.0004,0.01
4.278,0.0,-0.0003,0.011
4.328,-0.0004,0.0004,0.013
4.379,-0.0002,0.0003,0.011
4.435,-0.0,-0.0003,0.01
4.479,-0.0,0.0004,0.011
4.529,-0.0006,-0.0004,0.012
4.578,-0.0003,-0.0001,0.009
4.66,-0.0005,-0.0001,0.009
4.702,-0.0003,-0.0003,0.01
4.729,-0.0003,-0.0003,0.012
4.778,0.0002,-0.0003,0.012
4.828,-0.0005,0.0006,0.012
4.878,-0.0001,0.0004,0.01
4.953,0.0001,-0.0006,0.009
5.023,0.0001,0.0001,0.01
5.043,-0.0006,-0.0001,0.011
5.078,-0.0001,-0.0001,0.01
5.129,-0.0004,-0.0004,0.01
5.179,-0.0001,0.0001,0.011
5.24,-0.0004,0.0001,0.011
5.286,-0.0002,-0.0006,0.01
5.328,-0.0001,-0.0001,0.011
5.379,-0.0002,-0.0006,0.011
5.428,-0.0004,-0.0006,0.011
5.478,-0.0002,-0.0004,0.011
5.531,-0.0005,0.0001,0.01
5.583,-0.0002,0.0003,0.009
5.627,-0.0007,-0.0001,0.011
5.678,-0.0002,-0.0001,0.01
5.728,-0.0,0.0003,0.012
5.814,-0.0005,-0.0001,0.012
5.86,-0.0007,0.0001,0.01
5.88,-0.0005,0.0001,0.012
5.929,-0.0001,-0.0014,0.012
5.978,-0.0005,-0.0001,0.012
6.027,-0.0005,-0.0002,0.013
6.102,-0.0006,-0.0004,0.012
6.153,-0.0003,0.0003,0.011
6.178,-0.0008,-0.0004,0.009
6.227,-0.0004,-0.0004,0.009
6.278,-0.0002,-0.0004,0.011
6.328,-0.0006,-0.0004,0.012
6.39,-0.0006,-0.0006,0.012
6.433,-0.0004,0.0002,0.009
6.477,-0.0006,-0.0004,0.013
6.527,-0.0007,-0.0004,0.01
