time_s,x_m,y_m,z_down_m,vx_ms,vy_ms,vz_ms
0.08,0.0,0.0,0.011,0.0,0.0,0.0
0.13,0.0982,-2.0747,0.009,0.0005,-0.0018,0.0019
0.179,0.0982,-2.0744,0.011,0.0008,-0.0004,-0.0007
0.231,0.0986,-2.0747,0.007,0.0035,-0.0018,0.0024
0.281,0.0977,-2.0744,0.009,-0.0014,-0.0007,-0.0046
0.329,0.0981,-2.0737,0.01,0.0013,0.0032,-0.0035
0.381,0.0988,-2.074,0.01,0.005,0.0017,-0.0003
0.429,0.0982,-2.0744,0.012,0.0013,-0.0006,0.0015
0.479,0.0982,-2.0747,0.009,0.0015,-0.0022,0.0069
0.529,0.0982,-2.0746,0.011,0.0015,-0.0021,0.0024
0.579,0.0977,-2.0739,0.011,-0.0006,0.0017,0.0041
0.629,0.0979,-2.0747,0.01,0.0009,-0.0017,0.0049
0.68,0.0982,-2.074,0.008,0.0018,0.0022,0.0023
0.729,0.0984,-2.0749,0.011,0.0029,-0.003,-0.0034
0.778,0.0984,-2.0746,0.01,0.0025,-0.0016,0.0002
0.828,0.0968,-2.0739,0.01,-0.0061,0.0021,0.0006
0.878,0.098,-2.0746,0.01,0.0,-0.0015,0.0004
0.929,0.098,-2.0739,0.009,0.0008,0.0022,0.0001
0.978,0.0982,-2.0739,0.009,0.0024,0.0018,-0.0013
1.029,0.0982,-2.0739,0.01,0.0017,0.0017,-0.0022
1.079,0.0982,-2.0748,0.011,0.0022,-0.003,-0.0002
1.129,0.098,-2.0739,0.008,0.0013,0.0016,0.0037
1.18,0.0977,-2.0744,0.012,0.0004,-0.001,-0.0009
1.231,0.098,-2.0748,0.011,0.0014,-0.0031,0.005
1.28,0.0982,-2.074,0.011,0.0025,0.0015,0.0061
1.329,0.0982,-2.0739,0.009,0.002,0.0015,0.0061
1.379,0.0983,-2.0746,0.009,0.0023,-0.0025,0.0013
1.43,0.0988,-2.0744,0.008,0.0047,-0.001,-0.0008
1.479,0.099,-2.0756,0.01,0.0059,-0.007,-0.0041
1.529,0.0985,-2.0739,0.01,0.0037,0.0025,-0.0013
1.579,0.0981,-2.0738,0.011,0.0017,0.0026,0.0003
1.63,0.0981,-2.0739,0.008,0.0014,0.0029,0.004
1.678,0.0967,-2.0736,0.01,-0.005,0.0038,-0.0009
1.728,0.0983,-2.0739,0.011,0.003,0.002,0.0006
1.779,0.0978,-2.0744,0.009,0.0004,-0.0002,0.0038
1.829,0.0983,-2.0739,0.012,0.0026,0.0023,0.0008
1.879,0.098,-2.0739,0.008,0.0012,0.0022,0.0053
1.929,0.0983,-2.0744,0.009,0.0026,-0.0002,-0.0002
1.978,0.0985,-2.0744,0.009,0.0036,-0.0004,-0.0018
2.028,0.0983,-2.0749,0.011,0.0016,-0.0021,-0.0019
2.078,0.0985,-2.0742,0.01,0.0034,0.0013,0.0026
2.129,0.0979,-2.074,0.01,-0.0002,0.0024,0.0028
2.178,0.0986,-2.0742,0.011,0.0035,0.0008,0.0032
2.229,0.097,-2.074,0.01,-0.0051,0.002,0.0048
2.278,0.099,-2.0757,0.01,0.0061,-0.0078,0.0033
2.328,0.0985,-2.0746,0.014,0.0037,-0.0011,0.0027
2.378,0.0983,-2.074,0.008,0.0029,0.0022,0.0111
2.428,0.0983,-2.074,0.011,0.0025,0.0023,0.0015
2.478,0.0989,-2.0746,0.008,0.005,-0.0017,0.0021
2.529,0.0986,-2.0739,0.01,0.0036,0.0016,-0.0038
2.578,0.0984,-2.0739,0.012,0.0018,0.001,-0.0028
2.628,0.0984,-2.0736,0.011,0.0014,0.0023,0.0028
2.678,0.0993,-2.0739,0.01,0.0055,0.0011,0.0043
2.728,0.0982,-2.0739,0.01,0.0004,0.0012,0.0025
2.778,0.0984,-2.0739,0.011,0.0014,0.0011,0.0014
2.828,0.0968,-2.0736,0.011,-0.0065,0.0027,0.0033
2.878,0.0979,-2.0736,0.011,-0.0006,0.0029,0.0042
2.929,0.0982,-2.0739,0.009,0.0008,0.0008,0.0044
2.979,0.0987,-2.0744,0.011,0.004,-0.0019,-0.0003
3.029,0.0982,-2.0738,0.009,0.0011,0.0009,0.0018
3.079,0.0985,-2.0739,0.008,0.0022,0.0011,-0.0011
3.128,0.0985,-2.0735,0.009,0.0019,0.0028,-0.005
3.179,0.0982,-2.0734,0.009,-0.0,0.0029,-0.0043
3.229,0.0974,-2.0734,0.01,-0.0029,0.0024,-0.0035
3.278,0.0982,-2.0738,0.011,0.0006,0.0002,-0.0003
3.329,0.0982,-2.0738,0.009,0.001,0.0002,0.004
3.378,0.0979,-2.0738,0.009,-0.0006,0.0004,0.0017
3.428,0.0989,-2.0735,0.012,0.0043,0.0019,0.0007
3.479,0.0982,-2.0738,0.012,0.0011,0.0001,0.0067
3.528,0.0982,-2.0739,0.01,0.0008,-0.0,0.0093
3.579,0.0966,-2.0738,0.012,-0.006,0.0003,0.0057
3.628,0.0988,-2.0739,0.01,0.0039,0.0007,0.0073
3.677,0.0982,-2.0736,0.011,0.0014,0.002,0.0025
3.728,0.0984,-2.0739,0.008,0.0027,0.0005,0.0022
3.778,0.0984,-2.0736,0.009,0.0028,0.0023,-0.0047
3.828,0.0982,-2.0736,0.009,0.0029,0.0023,-0.0058
3.878,0.0986,-2.0735,0.009,0.0057,0.0021,-0.0061
3.929,0.0982,-2.0744,0.01,0.0048,-0.0033,-0.0046
3.979,0.0982,-2.0735,0.009,0.0051,0.0011,-0.0016
4.028,0.0986,-2.0738,0.01,0.0077,0.0009,-0.0017
4.081,0.0978,-2.0736,0.009,0.004,0.0018,0.001
4.134,0.0982,-2.0738,0.007,0.0056,0.0002,0.0013
4.177,0.0981,-2.0751,0.008,0.0043,-0.0109,-0.0042
4.228,0.0982,-2.0759,0.011,0.004,-0.0166,-0.0036
4.278,0.0969,-2.0786,0.009,-0.0032,-0.0312,0.0015
4.329,0.0979,-2.0824,0.007,0.0025,-0.0475,0.0005
4.378,0.0982,-2.0876,0.007,0.0033,-0.0665,-0.0074
4.427,0.0994,-2.0954,0.008,0.0083,-0.094,-0.0125
4.478,0.0978,-2.1043,0.005,-0.0012,-0.1216,-0.0092
4.527,0.0988,-2.1104,0.007,0.0045,-0.1298,-0.0131
4.578,0.1013,-2.116,0.002,0.0163,-0.1312,-0.0001
4.627,0.1056,-2.1193,0.0,0.0349,-0.1122,-0.0056
4.678,0.1118,-2.1201,0.0,0.0594,-0.0751,-0.0151
4.728,0.1136,-2.1113,0.0,0.0556,0.0076,-0.019
4.778,0.1176,-2.0955,0.0,0.0611,0.117,-0.035
4.829,0.1206,-2.0694,0.0,0.0544,0.2551,-0.0592
4.878,0.1219,-2.0326,0.0,0.026,0.4137,-0.072
4.927,0.1085,-1.9951,0.0,-0.0539,0.4869,-0.0025
4.979,0.1037,-1.9843,0.001,-0.0728,0.3619,0.0917
5.028,0.0995,-1.9835,0.003,-0.0903,0.208,0.0449
5.079,0.0864,-1.9909,0.006,-0.1469,0.0523,0.0211
5.128,0.0774,-2.006,0.009,-0.1671,-0.1103,0.0457
5.178,0.064,-2.0351,0.016,-0.1944,-0.2762,0.0479
5.228,0.0603,-2.0413,0.021,-0.1478,-0.3025,0.1198
5.278,0.0542,-2.0669,0.031,-0.1222,-0.36,0.1081
5.329,0.0496,-2.0965,0.037,-0.0866,-0.3982,0.1214
5.378,0.0461,-2.1194,0.047,-0.0506,-0.3787,0.1432
5.428,0.0425,-2.1325,0.053,-0.0223,-0.3106,0.1551
5.478,0.0427,-2.1346,0.062,0.0183,-0.2029,0.144
5.527,0.0492,-2.1368,0.065,0.0737,-0.0978,0.1392
5.577,0.0548,-2.1268,0.065,0.1148,0.0254,0.1341
5.629,0.0602,-2.1127,0.071,0.1403,0.1312,0.1192
5.677,0.069,-2.0968,0.074,0.1627,0.22,0.1312
5.728,0.0784,-2.0774,0.082,0.1748,0.289,0.128
5.778,0.0859,-2.0602,0.086,0.1672,0.3105,0.1462
5.827,0.0929,-2.0445,0.095,0.1524,0.3019,0.1445
5.878,0.1002,-2.0323,0.101,0.1364,0.2627,0.1525
5.928,0.1061,-2.023,0.107,0.1154,0.2058,0.1454
5.977,0.1109,-2.0154,0.117,0.0925,0.1485,0.1339
6.027,0.1134,-2.0113,0.121,0.0625,0.0856,0.1379
6.077,0.116,-2.0098,0.132,0.0422,0.0249,0.1269
6.128,0.1162,-2.0123,0.128,0.0158,-0.0342,0.1324
6.177,0.1157,-2.0169,0.135,-0.0069,-0.0834,0.1036
6.227,0.1141,-2.0231,0.142,-0.0274,-0.1214,0.1153
6.277,0.1115,-2.0324,0.145,-0.0439,-0.1569,0.1159
6.327,0.1085,-2.0405,0.147,-0.0557,-0.17,0.1045
6.378,0.1063,-2.0477,0.155,-0.0572,-0.1688,0.1021
6.427,0.1033,-2.0563,0.16,-0.057,-0.1655,0.1095
6.478,0.101,-2.063,0.169,-0.051,-0.1485,0.1047
6.527,0.0978,-2.0703,0.173,-0.0469,-0.1324,0.1084
6.578,0.0963,-2.0755,0.179,-0.0359,-0.1085,0.0983
6.628,0.0954,-2.0794,0.185,-0.0231,-0.0826,0.0962
6.678,0.0943,-2.0815,0.189,-0.0134,-0.0548,0.0964
6.728,0.0978,-2.086,0.193,0.0088,-0.0401,0.0863
6.778,0.0985,-2.0853,0.195,0.017,-0.0138,0.0788
6.827,0.1019,-2.0838,0.2,0.0286,0.0096,0.0711
6.877,0.1056,-2.0821,0.205,0.0363,0.0257,0.0688
6.928,0.1069,-2.0782,0.207,0.0333,0.0416,0.0693
6.977,0.108,-2.0749,0.211,0.0278,0.0497,0.0604
7.027,0.1106,-2.0704,0.217,0.0264,0.0572,0.0591
7.076,0.1117,-2.0667,0.215,0.0197,0.0574,0.0607
7.128,0.112,-2.0633,0.219,0.0111,0.0538,0.0429
7.177,0.1136,-2.0615,0.222,0.0063,0.0427,0.0435
7.227,0.1136,-2.0595,0.222,-0.0024,0.031,0.0397
7.276,0.1113,-2.0563,0.225,-0.0165,0.0234,0.0324
7.327,0.1104,-2.0572,0.224,-0.0242,0.0052,0.0332
7.377,0.1064,-2.0576,0.229,-0.0374,-0.0083,0.022
7.427,0.105,-2.0592,0.231,-0.0403,-0.0222,0.0315
7.477,0.1027,-2.0612,0.231,-0.0424,-0.0333,0.0291
7.527,0.1003,-2.0642,0.23,-0.0413,-0.0423,0.0206
7.577,0.0962,-2.0673,0.234,-0.0427,-0.048,0.014
7.626,0.0954,-2.0718,0.235,-0.0347,-0.0538,0.0189
7.677,0.0959,-2.0738,0.236,-0.0231,-0.0502,0.0162
7.727,0.0955,-2.0767,0.229,-0.015,-0.047,0.0145
7.777,0.0981,-2.0784,0.23,-0.0003,-0.0397,-0.0053
7.826,0.0992,-2.0815,0.233,0.0076,-0.0352,0.0047
7.876,0.1038,-2.0841,0.239,0.0211,-0.0296,0.011
7.927,0.1064,-2.0858,0.235,0.0272,-0.0234,0.0169
7.976,0.1076,-2.0868,0.235,0.0275,-0.0156,0.0048
8.026,0.1106,-2.0858,0.238,0.0288,-0.0034,0.003
8.077,0.1148,-2.0858,0.238,0.0316,0.0055,0.0085
8.126,0.1147,-2.0813,0.239,0.0226,0.0228,0.0061
8.176,0.1153,-2.077,0.235,0.0142,0.0364,0.0049
8.227,0.1131,-2.074,0.238,-0.0004,0.0428,-0.0078
8.277,0.1139,-2.0701,0.235,-0.0058,0.0481,0.0024
8.326,0.1101,-2.0682,0.236,-0.0198,0.0445,-0.0064
8.377,0.1102,-2.0659,0.232,-0.0219,0.0397,-0.0009
8.427,0.1078,-2.0635,0.234,-0.0286,0.0332,-0.0108
8.477,0.1033,-2.0618,0.233,-0.0385,0.0245,-0.0013
8.527,0.0998,-2.0613,0.233,-0.043,0.0122,-0.0054
8.577,0.0964,-2.0608,0.237,-0.0448,0.0009,-0.0046
