time_s,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m
0.267,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.613,0.711,1.1,0.156,
0.27,-0.0072,0.067,0.006,0.71,0.59,-0.82,0.0,-0.0065,0.0024,-0.0016,0.613,0.711,1.102,0.152,
0.273,-0.0073,0.0677,0.009,0.71,0.57,-0.82,0.0,-0.007,0.0059,0.0034,0.612,0.718,1.102,0.152,
0.276,-0.0075,0.0675,0.008,0.71,0.58,-0.81,0.0,-0.0038,0.0026,0.003,0.612,0.718,1.097,0.156,
0.332,-0.0072,0.0674,0.008,0.71,0.58,-0.82,0.0,-0.0072,0.0037,0.0046,0.625,0.708,1.097,0.156,
0.352,-0.0072,0.0679,0.009,0.71,0.56,-0.83,0.0,-0.0061,0.0047,0.0046,0.625,0.708,,0.156,
0.403,-0.0073,0.068,0.007,0.71,0.57,-0.82,0.0,-0.0063,0.0038,0.0028,0.615,0.724,,0.156,
0.452,-0.0072,0.067,0.006,0.71,0.59,-0.83,0.0,-0.0061,0.0021,0.003,0.615,0.724,1.093,0.154,
0.502,-0.0071,0.0667,0.009,0.71,0.6,-0.83,0.0,-0.0061,-0.0006,0.0015,0.615,0.711,1.093,0.154,
0.557,-0.0081,0.0664,0.008,0.71,0.61,-0.81,0.0,-0.0054,0.0058,0.0016,0.615,0.711,1.098,0.155,
0.611,-0.0068,0.067,0.005,0.71,0.59,-0.85,0.0,-0.0044,0.0018,-0.0052,0.622,0.708,1.098,0.155,
0.652,-0.0068,0.0675,0.009,0.71,0.57,-0.85,0.0,-0.0043,0.0016,-0.0051,0.622,0.708,1.108,0.152,
0.702,-0.0069,0.067,0.008,0.72,0.58,-0.84,0.0,-0.005,0.0025,0.0011,,0.723,1.108,0.152,
0.752,-0.007,0.0677,0.009,0.72,0.56,-0.84,0.0,-0.0049,0.0058,0.0016,,0.723,1.099,0.153,
0.803,-0.0073,0.0665,0.009,0.71,0.6,-0.83,0.0,-0.0064,0.0067,0.0057,0.621,0.72,1.099,0.153,
0.851,-0.0072,0.0668,0.008,0.72,0.59,-0.84,0.0,-0.0061,0.0008,0.0056,0.621,0.72,1.096,0.155,
0.902,-0.0072,0.0678,0.01,0.72,0.55,-0.84,0.0,-0.0052,0.0039,0.0062,0.608,0.714,1.096,0.155,
0.994,-0.0072,0.0675,0.005,0.72,0.57,-0.85,0.0,-0.0037,0.0034,0.0061,0.608,0.714,1.104,0.153,
1.001,-0.007,0.0673,0.008,0.72,0.58,-0.86,0.0,-0.004,0.0038,-0.0028,0.615,0.717,1.104,0.153,
1.056,-0.0081,0.0665,0.007,0.71,0.61,-0.81,0.0,-0.0062,0.0072,-0.0029,0.615,0.717,,0.155,
1.102,-0.0075,0.0668,0.007,0.72,0.6,-0.84,0.0,-0.006,0.0054,-0.0041,0.619,0.72,,0.155,
1.153,-0.0074,0.0674,0.007,0.72,0.58,-0.84,0.0,-0.0051,0.0049,-0.004,0.619,0.72,1.099,0.154,
1.202,-0.0077,0.0679,0.007,0.72,0.57,-0.84,0.0,-0.0077,0.0113,-0.0028,0.624,,1.099,0.154,
1.267,-0.0072,0.0674,0.007,0.72,0.59,-0.85,0.0,-0.0034,0.0013,-0.0026,0.624,,1.097,0.156,
1.303,-0.0072,0.0675,0.006,0.72,0.59,-0.85,0.0,-0.0046,0.0034,-0.0039,0.621,0.719,1.097,0.156,
