time_s,state,x_m,y_m,z_down_m,edge_event,edge_x_m,edge_y_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m,local_x_min_m,local_x_max_m,local_y_min_m,local_y_max_m
0.231,,0.0,0.0,0.011,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.653,0.414,0.699,0.25,,,,,,,
0.236,,-0.9707,-8.6344,0.012,,,,10.73,-1.25,0.15,0.0,0.0003,-0.0043,-0.0078,0.653,0.414,0.706,0.25,,,,,,,
0.24,,-0.97,-8.6355,0.013,,,,10.67,-1.19,0.14,0.0,0.0037,-0.0108,-0.0072,0.657,0.407,0.706,0.25,,,,,,,
0.245,,-0.9721,-8.6338,0.013,,,,10.62,-1.29,0.22,0.0,-0.0077,-0.0008,-0.0038,0.657,0.407,0.705,0.244,,,,,,,
0.291,,-0.9701,-8.6354,0.011,,,,10.56,-1.21,0.14,0.0,0.0035,-0.0094,-0.002,0.654,0.414,0.705,0.244,,,,,,,
0.328,,-0.9704,-8.6335,0.013,,,,10.5,-1.3,0.14,0.0,0.001,0.0005,-0.0052,0.654,0.414,0.713,0.247,,,,,,,
0.377,,-0.9704,-8.6337,0.015,,,,10.45,-1.28,0.14,0.0,0.0016,-0.0005,-0.002,0.661,0.41,0.713,0.247,,,,,,,
0.44,,-0.9708,-8.6345,0.011,,,,10.39,-1.26,0.16,0.0,-0.0002,-0.004,0.0048,0.661,0.41,0.711,0.25,,,,,,,
0.484,,-0.9705,-8.6335,0.012,,,,10.33,-1.3,0.15,0.0,0.0014,0.0014,-0.0022,0.659,0.416,0.711,0.25,,,,,,,
0.528,,-0.9701,-8.6356,0.012,,,,10.28,-1.2,0.14,0.0,0.0036,-0.0109,-0.003,0.659,0.416,0.721,0.245,,,,,,,
0.577,,-0.9708,-8.6343,0.014,,,,10.22,-1.26,0.15,0.0,0.0001,-0.0031,-0.0035,0.659,0.408,0.721,0.245,,,,,,,
0.627,,-0.9708,-8.6345,0.015,,,,10.16,-1.25,0.15,0.0,0.0002,-0.0042,0.0011,0.659,0.408,0.726,0.246,,,,,,,
