time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m
0.253,,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.671,0.413,,,,,
0.258,,0.0036,0.0035,0.014,-0.04,-1.54,-0.06,0.0,0.0056,-0.0019,-0.0004,0.67,0.411,,,,,
0.262,,0.0036,0.0037,0.011,-0.04,-1.55,-0.06,0.0,0.0056,-0.0002,-0.0005,0.67,0.411,,,,,
0.266,,0.0039,0.0042,0.011,-0.04,-1.56,-0.08,0.0,0.0082,0.002,-0.0048,0.67,0.416,,,,,
0.327,,0.0027,0.0025,0.015,-0.04,-1.48,-0.02,0.0,0.0014,-0.0075,0.0024,0.67,0.416,,,,,
0.343,,0.004,0.0043,0.015,-0.04,-1.56,-0.08,0.0,0.0086,0.0021,0.0059,0.67,0.415,,,,,
0.396,,0.0028,0.0028,0.014,-0.04,-1.5,-0.02,0.0,0.0009,-0.0052,0.007,0.67,0.415,,,,,
0.442,,0.0039,0.0039,0.014,-0.04,-1.55,-0.06,0.0,0.0066,0.0006,0.0051,0.67,0.414,,,,,
0.493,,0.0046,0.0049,0.013,-0.04,-1.6,-0.09,0.0,0.0099,0.0062,0.0048,0.67,0.414,,,,,
0.544,,0.0048,0.0049,0.013,-0.04,-1.6,-0.09,0.0,0.0104,0.0061,0.0001,0.668,0.414,,,,,
0.604,,0.0031,0.0049,0.012,-0.04,-1.6,-0.02,0.0,0.0012,0.0064,-0.0053,0.668,0.414,,,,,
0.654,,0.0043,0.0044,0.012,-0.04,-1.58,-0.07,0.0,0.0081,0.0041,-0.0082,0.67,0.413,,,,,
0.696,,0.0033,0.0037,0.012,-0.04,-1.54,-0.02,0.0,0.0027,-0.0006,-0.0042,0.67,0.413,,,,,
0.743,,0.0029,0.003,0.012,-0.04,-1.51,-0.0,0.0,-0.0001,-0.0039,-0.0058,0.671,0.414,,,,,
0.792,,0.0048,0.0028,0.011,-0.04,-1.49,-0.09,0.0,0.0102,-0.0054,-0.0012,0.671,0.414,,,,,
0.844,,0.0041,0.0045,0.011,-0.04,-1.56,-0.06,0.0,0.0064,0.003,-0.0054,0.669,0.412,,,,,
0.934,,0.0032,0.0035,0.014,-0.04,-1.51,-0.02,0.0,0.0015,-0.0019,-0.0008,0.669,0.412,,,,,
0.942,,0.003,0.0052,0.014,-0.04,-1.58,-0.02,0.0,0.0012,0.0062,0.0011,0.671,0.412,,,,,
0.998,,0.0048,0.0032,0.013,-0.05,-1.49,-0.09,0.0,0.0105,-0.005,0.0008,0.671,0.412,,,,,
1.044,,0.0039,0.0041,0.013,-0.04,-1.52,-0.05,0.0,0.0054,-0.0004,-0.0,0.666,0.413,,,,,
