time_s,state,x_m,y_m,z_down_m,yaw_deg,roll_deg,pitch_deg,yaw_ref_deg,vx_ms,vy_ms,vz_ms,range_front_m,range_back_m,range_left_m,range_right_m,range_up_m,target_x_m,target_y_m,frontier_x_m,frontier_y_m
0.231,,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.468,0.199,2.146,,,,,,
0.232,,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.468,0.202,2.142,,,,,,
0.233,,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.471,0.202,2.142,,,,,,
0.239,,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.471,0.212,2.13,,,,,,
0.32,,2.8768,0.513,0.01,-4.24,0.09,-0.2,0.0,0.0021,0.0031,-0.0003,0.474,0.212,2.13,,,,,,
0.338,,2.8768,0.513,0.009,-4.21,0.09,-0.21,0.0,0.0024,0.003,-0.0035,0.474,0.211,2.127,,,,,,
0.39,,2.8771,0.513,0.011,-4.19,0.09,-0.22,0.0,0.0038,0.003,-0.0011,0.471,0.211,2.127,,,,,,
0.438,,2.8771,0.513,0.008,-4.17,0.09,-0.22,0.0,0.004,0.003,-0.0056,0.471,0.211,2.118,,,,,,
0.489,,2.8762,0.5131,0.011,-4.15,0.08,-0.19,0.0,-0.0,0.004,-0.0017,0.469,0.211,2.118,,,,,,
0.549,,2.8773,0.5132,0.01,-4.13,0.09,-0.23,0.0,0.0046,0.0041,-0.0016,0.469,0.213,2.108,,,,,,
0.602,,2.8772,0.5131,0.01,-4.11,0.09,-0.23,0.0,0.0043,0.0037,-0.0009,0.472,0.213,2.108,,,,,,
0.639,,2.8773,0.5132,0.008,-4.09,0.09,-0.23,0.0,0.0045,0.0033,-0.0051,0.472,0.206,2.052,,,,,,
0.704,,2.8763,0.5132,0.011,-4.07,0.09,-0.19,0.0,0.0004,0.0037,-0.0011,0.473,0.206,2.052,,,,,,
0.745,,2.8763,0.5133,0.011,-4.05,0.09,-0.19,0.0,0.0007,0.004,0.0018,0.473,0.194,,,,,,,
0.803,,2.8766,0.5132,0.009,-4.04,0.1,-0.19,0.0,0.0021,0.0035,-0.0008,0.469,0.194,,,,,,,
0.858,,2.877,0.5133,0.009,-4.01,0.09,-0.2,0.0,0.004,0.0037,-0.0026,0.469,0.191,,,,,,,
0.91,,2.8773,0.5132,0.01,-3.99,0.09,-0.22,0.0,0.0048,0.0034,-0.0011,0.472,0.191,,,,,,,
0.942,,2.8772,0.5132,0.01,-3.97,0.1,-0.22,0.0,0.0043,0.0033,-0.0001,0.472,0.185,1.933,,,,,,
1.012,,2.8766,0.5132,0.01,-3.95,0.1,-0.2,0.0,0.0014,0.0032,0.0,0.47,0.185,1.933,,,,,,
1.066,,2.8786,0.5131,0.009,-3.93,0.1,-0.27,0.0,0.0107,0.0027,-0.0018,0.47,0.189,,,,,,,
1.11,,2.877,0.5133,0.009,-3.92,0.1,-0.21,0.0,0.0027,0.0041,-0.0029,0.471,0.189,,,,,,,
1.137,,2.8773,0.5133,0.008,-3.9,0.1,-0.22,0.0,0.0036,0.0033,-0.0056,0.471,0.188,,,,,,,
1.187,,2.877,0.5133,0.008,-3.88,0.1,-0.22,0.0,0.0035,0.0036,-0.0064,0.472,0.188,,,,,,,
1.281,,2.8764,0.513,0.009,-3.86,0.11,-0.2,0.0,0.0004,0.002,-0.0036,0.472,0.184,1.772,,,,,,
1.288,,2.8764,0.5134,0.008,-3.84,0.1,-0.21,0.0,0.001,0.0035,-0.0038,0.472,0.184,1.772,,,,,,
1.351,,2.8772,0.5135,0.008,-3.83,0.09,-0.23,0.0,0.0045,0.0042,-0.0035,0.472,0.184,1.545,,,,,,
1.407,,2.8769,0.5137,0.009,-3.81,0.09,-0.22,0.0,0.003,0.0052,-0.0016,0.469,0.184,1.545,,,,,,
1.436,,2.8775,0.5134,0.009,-3.79,0.1,-0.24,0.0,0.0059,0.0039,0.0,0.469,0.18,,,,,,,
1.487,,2.8765,0.5136,0.009,-3.78,0.1,-0.21,0.0,0.0017,0.0043,0.0009,0.471,0.18,,,,,,,
1.577,,2.8778,0.5136,0.01,-3.76,0.1,-0.25,0.0,0.0072,0.0038,0.0036,0.471,0.172,,,,,,,
1.611,,2.8773,0.5135,0.009,-3.74,0.1,-0.23,0.0,0.0052,0.0033,0.0026,0.469,0.172,,,,,,,
1.649,,2.8778,0.5136,0.009,-3.72,0.1,-0.25,0.0,0.007,0.0034,0.0018,0.469,0.168,1.495,,,,,,
1.704,,2.8776,0.5137,0.008,-3.7,0.1,-0.23,0.0,0.0057,0.0037,-0.0008,0.469,0.168,1.495,,,,,,
1.736,,2.8774,0.5136,0.01,-3.68,0.1,-0.23,0.0,0.0052,0.0031,0.0023,0.469,0.161,1.53,,,,,,
1.787,,2.8778,0.5136,0.007,-3.66,0.1,-0.24,0.0,0.0065,0.0028,-0.0024,0.471,0.161,1.53,,,,,,
1.89,,2.8778,0.5136,0.011,-3.65,0.1,-0.24,0.0,0.0065,0.0031,0.0036,0.471,0.16,1.517,,,,,,
1.905,,2.8766,0.5136,0.011,-3.63,0.1,-0.2,0.0,0.0013,0.0031,0.0069,0.475,0.16,1.517,,,,,,
1.964,,2.8777,0.5135,0.012,-3.62,0.1,-0.23,0.0,0.0062,0.0027,0.0102,0.475,0.161,1.49,,,,,,
1.997,,2.8773,0.5135,0.01,-3.6,0.1,-0.21,0.0,0.004,0.0026,0.0069,0.472,0.161,1.49,,,,,,
2.037,,2.8778,0.5132,0.009,-3.58,0.11,-0.23,0.0,0.0057,0.0014,0.0014,0.472,0.163,,,,,,,
2.086,,2.8767,0.5136,0.009,-3.57,0.09,-0.19,0.0,0.0008,0.003,-0.0013,0.471,0.163,,,,,,,
2.166,,2.8774,0.5137,0.009,-3.55,0.09,-0.22,0.0,0.0043,0.003,-0.0031,0.471,0.168,1.512,,,,,,
2.234,,2.8774,0.5136,0.01,-3.53,0.09,-0.22,0.0,0.0038,0.0029,-0.0019,0.471,0.168,1.512,,,,,,
2.287,,2.8777,0.5136,0.011,-3.51,0.09,-0.23,0.0,0.005,0.003,0.0015,0.471,0.162,,,,,,,
2.306,,2.8767,0.5136,0.008,-3.5,0.09,-0.19,0.0,0.0006,0.0034,-0.0031,0.473,0.162,,,,,,,
2.363,,2.8777,0.5136,0.011,-3.48,0.08,-0.23,0.0,0.0053,0.003,0.0006,0.473,0.167,,,,,,,
2.386,,2.8767,0.5136,0.008,-3.46,0.09,-0.2,0.0,0.0009,0.0033,-0.0038,0.473,0.167,,,,,,,
2.459,,2.8776,0.5136,0.01,-3.45,0.09,-0.23,0.0,0.0052,0.0031,-0.0011,0.473,0.171,,,,,,,
2.512,,2.8773,0.5136,0.013,-3.43,0.09,-0.22,0.0,0.004,0.003,0.007,0.47,0.171,,,,,,,
2.554,,2.8773,0.5136,0.008,-3.41,0.09,-0.23,0.0,0.0041,0.0029,-0.0003,0.47,0.163,,,,,,,
2.586,,2.8765,0.5136,0.01,-3.4,0.09,-0.2,0.0,0.0006,0.0028,0.0003,0.472,0.163,,,,,,,
2.637,,2.8777,0.5137,0.01,-3.38,0.09,-0.24,0.0,0.0064,0.0029,-0.0001,0.472,0.166,,,,,,,
2.733,,2.8777,0.5137,0.01,-3.37,0.09,-0.24,0.0,0.006,0.0032,-0.0004,0.469,0.166,,,,,,,
2.789,,2.8777,0.5137,0.009,-3.35,0.09,-0.24,0.0,0.0055,0.0027,-0.0029,0.469,0.164,1.514,,,,,,
2.799,,2.8766,0.5137,0.009,-3.33,0.09,-0.2,0.0,-0.0002,0.0028,-0.004,0.471,0.164,1.514,,,,,,
2.857,,2.8774,0.5137,0.01,-3.32,0.09,-0.23,0.0,0.0037,0.0028,-0.0015,0.471,0.163,1.489,,,,,,
2.887,,2.8771,0.5135,0.011,-3.3,0.09,-0.22,0.0,0.0022,0.0019,0.0015,0.471,0.163,1.489,,,,,,
2.937,,2.8772,0.5139,0.01,-3.28,0.08,-0.22,0.0,0.0027,0.0042,0.0015,0.471,0.163,,,,,,,
3.028,,2.8775,0.5138,0.009,-3.26,0.08,-0.23,0.0,0.0039,0.0035,-0.0007,0.473,0.163,,,,,,,
3.082,,2.8778,0.5138,0.011,-3.25,0.08,-0.24,0.0,0.0058,0.0036,0.0021,0.473,0.157,1.51,,,,,,
3.096,,2.8772,0.5138,0.011,-3.23,0.08,-0.22,0.0,0.003,0.0031,0.004,0.469,0.157,1.51,,,,,,
3.156,,2.8777,0.5138,0.009,-3.21,0.08,-0.24,0.0,0.0051,0.0028,0.0,0.469,0.155,,,,,,,
3.187,,2.8772,0.5138,0.011,-3.2,0.08,-0.21,0.0,0.0022,0.0027,0.0016,0.468,0.155,,,,,,,
3.237,,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.468,0.157,,,,,,,
3.321,,-0.0001,0.0,0.009,-0.0,-0.01,-0.06,0.0,-0.0029,0.0014,0.0002,0.47,0.157,,,,,,,
3.373,,-0.0001,0.0001,0.01,-0.0,-0.0,-0.15,0.0,-0.0008,0.0025,0.0002,0.47,0.162,1.503,,,,,,
3.421,,-0.0006,0.0002,0.01,-0.0,0.01,-0.06,0.0,-0.0051,0.0035,0.0007,0.473,0.162,1.503,,,,,,
3.452,,0.0005,0.0003,0.009,-0.0,0.04,-0.38,0.0,0.0078,0.004,-0.0008,0.473,0.153,,,,,,,
3.497,,-0.0002,0.0003,0.01,-0.0,0.07,-0.2,0.0,0.001,0.0034,0.0005,0.468,0.153,,,,,,,
3.536,,0.0001,0.0003,0.009,-0.0,0.09,-0.26,0.0,0.004,0.0036,-0.0013,0.468,0.158,,,,,,,
3.635,,-0.001,0.0003,0.01,0.0,0.1,-0.09,0.0,-0.0051,0.0035,0.0007,0.472,0.158,,,,,,,
3.672,,0.0008,0.0003,0.009,0.0,0.12,-0.31,0.0,0.0082,0.0027,-0.0009,0.472,0.16,,,,,,,
3.703,,0.0002,0.0003,0.011,0.0,0.12,-0.23,0.0,0.0033,0.0023,0.003,0.469,0.16,,,,,,,
3.743,,-0.0,0.0003,0.01,0.0,0.12,-0.21,0.0,0.0025,0.002,0.0021,0.469,0.158,,,,,,,
3.787,,-0.0,0.0003,0.009,0.0,0.13,-0.21,0.0,0.0029,0.0021,-0.0004,0.473,0.158,,,,,,,
3.836,,-0.0,0.0002,0.012,0.0,0.14,-0.21,0.0,0.0031,0.0021,0.0049,0.473,0.158,,,,,,,
3.909,,-0.0006,0.0002,0.01,0.0,0.14,-0.18,0.0,-0.0003,0.0021,0.0032,0.47,0.158,,,,,,,
