time_s,phase,target_x_m,target_y_m,target_z_m,actual_x_m,actual_y_m,actual_z_m,error_x_m,error_y_m,error_z_m,error_xy_m,error_3d_m,roll_deg,pitch_deg,yaw_deg,vbat_v
0.153,init,0.0000,0.0000,0.0000,-0.0003,0.0005,0.0108,0.0003,-0.0005,-0.0108,0.0006,0.0108,0.000,0.000,0.000,3.695
0.213,init,0.0000,0.0000,0.0000,-0.0004,0.0009,0.0115,0.0004,-0.0009,-0.0115,0.0010,0.0115,0.946,0.376,0.278,3.695
0.314,init,0.0000,0.0000,0.0000,-0.0004,0.0008,0.0109,0.0004,-0.0008,-0.0109,0.0008,0.0110,0.937,0.383,0.289,3.695
0.485,init,0.0000,0.0000,0.0000,-0.0004,0.0004,0.0103,0.0004,-0.0004,-0.0103,0.0005,0.0103,0.947,0.391,0.299,3.700
0.534,init,0.0000,0.0000,0.0000,-0.0003,0.0002,0.0113,0.0003,-0.0002,-0.0113,0.0004,0.0114,0.961,0.393,0.309,3.695
0.624,init,0.0000,0.0000,0.0000,-0.0003,0.0003,0.0111,0.0003,-0.0003,-0.0111,0.0004,0.0111,0.965,0.392,0.316,3.695
0.718,takeoff,0.0000,0.0000,0.0074,-0.0003,0.0009,0.0120,0.0003,-0.0009,-0.0046,0.0009,0.0047,0.960,0.388,0.323,3.695
0.819,takeoff,0.0000,0.0000,0.0209,-0.0005,0.0013,0.0122,0.0005,-0.0013,0.0087,0.0014,0.0088,0.942,0.392,0.331,3.695
0.940,takeoff,0.0000,0.0000,0.0370,-0.0005,0.0002,0.0129,0.0005,-0.0002,0.0241,0.0005,0.0241,0.936,0.395,0.338,3.695
1.026,takeoff,0.0000,0.0000,0.0485,-0.0004,0.0001,0.0126,0.0004,-0.0001,0.0359,0.0004,0.0359,0.963,0.387,0.348,3.695
1.136,takeoff,0.0000,0.0000,0.0632,-0.0004,0.0001,0.0113,0.0004,-0.0001,0.0519,0.0004,0.0519,0.962,0.390,0.354,3.695
1.214,takeoff,0.0000,0.0000,0.0735,-0.0004,0.0001,0.0107,0.0004,-0.0001,0.0629,0.0004,0.0629,0.960,0.389,0.362,3.695
1.338,takeoff,0.0000,0.0000,0.0901,-0.0003,0.0001,0.0102,0.0003,-0.0001,0.0799,0.0003,0.0799,0.956,0.389,0.372,3.695
1.413,takeoff,0.0000,0.0000,0.1001,-0.0003,0.0000,0.0111,0.0003,-0.0000,0.0889,0.0003,0.0889,0.956,0.399,0.381,3.695
1.543,takeoff,0.0000,0.0000,0.1174,-0.0003,0.0001,0.0111,0.0003,-0.0001,0.1063,0.0003,0.1063,0.956,0.385,0.388,3.695
1.613,takeoff,0.0000,0.0000,0.1267,0.0002,-0.0001,0.0111,-0.0002,0.0001,0.1157,0.0002,0.1157,0.961,0.384,0.392,3.695
1.743,takeoff,0.0000,0.0000,0.1441,-0.0003,0.0003,0.0111,0.0003,-0.0003,0.1331,0.0005,0.1331,0.961,0.369,0.398,3.695
1.814,takeoff,0.0000,0.0000,0.1535,0.0002,-0.0000,0.0110,-0.0002,0.0000,0.1425,0.0002,0.1425,0.950,0.375,0.404,3.695
1.938,takeoff,0.0000,0.0000,0.1700,0.0002,0.0005,0.0113,-0.0002,-0.0005,0.1587,0.0005,0.1587,0.963,0.368,0.415,3.695
2.013,takeoff,0.0000,0.0000,0.1801,-0.0003,0.0000,0.0111,0.0003,-0.0000,0.1690,0.0003,0.1690,0.949,0.381,0.422,3.695
2.146,takeoff,0.0000,0.0000,0.1978,-0.0003,0.0007,0.0111,0.0003,-0.0007,0.1867,0.0008,0.1867,0.956,0.397,0.428,3.695
2.213,takeoff,0.0000,0.0000,0.2068,-0.0002,0.0001,0.0113,0.0002,-0.0001,0.1955,0.0003,0.1955,0.937,0.393,0.433,3.695
2.345,takeoff,0.0000,0.0000,0.2244,-0.0002,0.0000,0.0121,0.0002,-0.0000,0.2123,0.0002,0.2123,0.952,0.392,0.439,3.695
2.412,takeoff,0.0000,0.0000,0.2333,-0.0002,0.0005,0.0125,0.0002,-0.0005,0.2208,0.0005,0.2208,0.955,0.388,0.450,3.695
2.541,takeoff,0.0000,0.0000,0.2505,-0.0001,0.0003,0.0118,0.0001,-0.0003,0.2388,0.0004,0.2388,0.942,0.388,0.454,3.695
