time_s,phase,target_x_m,target_y_m,target_z_m,target_n_m,target_e_m,target_d_m,actual_x_m,actual_y_m,actual_z_m,actual_n_m,actual_e_m,actual_d_m,error_x_m,error_y_m,error_z_m,error_xy_m,error_3d_m,roll_deg,pitch_deg,yaw_deg,vbat_v
0.156,init,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0027,-0.0000,0.0160,0.0027,0.0000,-0.0160,-0.0027,0.0000,-0.0160,0.0027,0.0163,0.000,0.000,0.000,4.107
0.214,init,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0031,0.0004,0.0171,0.0031,-0.0004,-0.0171,-0.0031,-0.0004,-0.0171,0.0031,0.0174,0.961,0.085,0.008,4.101
0.313,init,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0037,0.0010,0.0186,0.0037,-0.0010,-0.0186,-0.0037,-0.0010,-0.0186,0.0038,0.0189,0.951,0.083,0.005,4.101
0.454,init,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0044,0.0017,0.0166,0.0044,-0.0017,-0.0166,-0.0044,-0.0017,-0.0166,0.0047,0.0173,0.943,0.082,0.011,4.101
0.557,init,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0052,0.0025,0.0155,0.0052,-0.0025,-0.0155,-0.0052,-0.0025,-0.0155,0.0058,0.0166,0.937,0.077,0.009,4.101
0.632,init,0.0000,0.0000,0.0000,0.0000,-0.0000,-0.0000,0.0062,0.0034,0.0169,0.0062,-0.0034,-0.0169,-0.0062,-0.0034,-0.0169,0.0070,0.0183,0.933,0.077,0.008,4.101
0.745,takeoff,0.0000,0.0000,0.0065,0.0000,-0.0000,-0.0065,0.0073,0.0044,0.0168,0.0073,-0.0044,-0.0168,-0.0073,-0.0044,-0.0103,0.0085,0.0133,0.926,0.078,0.007,4.101
0.814,takeoff,0.0000,0.0000,0.0156,0.0000,-0.0000,-0.0156,0.0154,0.0008,0.0174,0.0154,-0.0008,-0.0174,-0.0154,-0.0008,-0.0018,0.0155,0.0156,0.921,0.075,0.005,3.938
0.913,takeoff,0.0000,0.0000,0.0290,0.0000,-0.0000,-0.0290,-0.0038,-0.0462,0.0154,-0.0038,0.0462,-0.0154,0.0038,0.0462,0.0136,0.0464,0.0483,1.015,0.099,-0.157,3.954
1.026,takeoff,0.0000,0.0000,0.0440,0.0000,-0.0000,-0.0440,-0.0064,-0.0539,0.0057,-0.0064,0.0539,-0.0057,0.0064,0.0539,0.0383,0.0543,0.0664,-0.825,0.234,-0.454,3.938
1.113,takeoff,0.0000,0.0000,0.0555,0.0000,-0.0000,-0.0555,-0.0106,-0.0199,-0.0254,-0.0106,0.0199,0.0254,0.0106,0.0199,0.0809,0.0226,0.0840,-7.877,0.681,-0.613,3.890
1.219,takeoff,0.0000,0.0000,0.0697,0.0000,-0.0000,-0.0697,-0.0245,0.0647,-0.0015,-0.0245,-0.0647,0.0015,0.0245,-0.0647,0.0711,0.0692,0.0992,1.160,-1.638,-0.796,3.948
1.312,takeoff,0.0000,0.0000,0.0821,0.0000,-0.0000,-0.0821,-0.0211,0.1567,0.0235,-0.0211,-0.1567,-0.0235,0.0211,-0.1567,0.0586,0.1581,0.1687,11.627,-1.967,-0.635,3.970
1.432,takeoff,0.0000,0.0000,0.0981,0.0000,-0.0000,-0.0981,-0.0218,0.1920,0.0147,-0.0218,-0.1920,-0.0147,0.0218,-0.1920,0.0834,0.1933,0.2105,16.412,-1.258,-0.529,3.880
1.513,takeoff,0.0000,0.0000,0.1089,0.0000,-0.0000,-0.1089,-0.0086,0.1239,0.0186,-0.0086,-0.1239,-0.0186,0.0086,-0.1239,0.0903,0.1242,0.1535,10.760,-0.434,-0.737,3.922
1.626,takeoff,0.0000,0.0000,0.1239,0.0000,-0.0000,-0.1239,-0.0048,0.0888,0.0199,-0.0048,-0.0888,-0.0199,0.0048,-0.0888,0.1041,0.0889,0.1369,-5.219,2.186,-0.925,3.938
1.714,takeoff,0.0000,0.0000,0.1356,0.0000,-0.0000,-0.1356,-0.0035,0.0664,0.0150,-0.0035,-0.0664,-0.0150,0.0035,-0.0664,0.1206,0.0665,0.1377,-9.747,2.224,-1.072,3.890
1.823,takeoff,0.0000,0.0000,0.1502,0.0000,-0.0000,-0.1502,0.0023,0.0134,0.0228,0.0023,-0.0134,-0.0228,-0.0023,-0.0134,0.1275,0.0136,0.1282,-9.289,1.148,-1.204,3.917
1.913,takeoff,0.0000,0.0000,0.1622,0.0000,-0.0000,-0.1622,0.0054,0.0018,0.0194,0.0054,-0.0018,-0.0194,-0.0054,-0.0018,0.1429,0.0057,0.1430,-11.380,1.717,-1.008,3.906
